Act,Location,Task,Reward,Tags
Act 1,Clearfell,Kill Beira Of The Rotten Pack,+10% Cold Resistance,Resistance
Act 1,Hunting Grounds,Kill Crowbell,+2 Passive Skill Points,Passive Skills
Act 1,Freythorn,Kill The King In The Mist,+30 Spirit (Uncut Spirit Gem on 1st kill),Spirit, Gem
Act 1,Ogham Farmlands,Find Una's Lute and deliver it to Una,+2 Passive Skill Points,Passive Skills
Act 1,Ogham Village,Find Smithing Tools for Renly,Salvaging Bench,Unique Reward
Act 1,Oghman Manor,Kill Candlemass, The Living Rite,+20 Maximum Life,Unique Reward
Act 2,Keth,Kill Kabala, Constrictor Queen,+2 Passive Skill Points,Passive Skills
Act 2,Valley Of The Titans,Deliver Kabala and Sun Clan Relics to altar,30% increased Charm Charges gained. 15% increased Mana Recovery from Flasks.,Unique Reward
Act 2,Deshar,Find Final Letter on corpse,+2 Passive Skill Points,Passive Skills
Act 2,The Spires of Deshar,Click Sisters of Garukhan Shrine,+10% Lightning Resistance,Resistance
Act 3,Sandswept Marsh,Find Basket at Orok Campfire,Lesser Jeweller's Orb,Unique Reward
Act 3,Jungle Ruins,Kill Mighty Silverfist,+2 Passive Skill Points,Passive Skills
Act 3,The Azak Bog,Kill Ignagduk, The Bog Witch,+30 Spirit (Uncut Spirit Gem on 1st kill),Spirit, Gem
Act 3,The Venom Crypts,Find the Venom Vial,Choose from: 25% increased Stun Threshold. 30% increased Elemental Ailment Threshold. 25% increased Mana Regeneration Rate.,Unique Reward
Act 3,Jiquani's Machinarium,Kill Blackjaw, The Remnant,+10% Fire Resistance,Resistance
Act 3,The Molten Vault,Kill Mektul, The Forgemaster,Reforging Bench,Unique Reward
Act 3,Aggorat,Find and Sacrifice the Sacrificial Heart,+2 Passive Skill Points,Passive Skills
Act 4 (Act 1 - Cruel),Clearfell,Kill Beira Of The Rotten Pack,+10% Cold Resistance,Resistance
Act 4 (Act 1 - Cruel),Hunting Grounds,Kill Crowbell,+2 Passive Skill Points,Passive Skills
Act 4 (Act 1 - Cruel),Ogham Farmlands,Find Una's Lute and deliver it to Una,+2 Passive Skill Points,Passive Skills
Act 4 (Act 1 - Cruel),Oghman Manor,Kill Candlemass, The Living Rite,+8% Increased Maximum Life,Unique Reward
Act 5 (Act 2 Cruel),Keth,Kill Kabala, Constrictor Queen,+2 Passive Skill Points,Passive Skills
Act 5 (Act 2 Cruel),Valley Of The Titans,Deliver Kabala and Sun Clan Relics to altar,30% increased Charm Charges gained. 15% increased Mana Recovery from Flasks.,Unique Reward
Act 5 (Act 2 Cruel),Deshar,Find Final Letter on corpse,+2 Passive Skill Points,Passive Skills
Act 5 (Act 2 Cruel),The Spires of Deshar,Click Sisters of Garukhan Shrine,+10% Lightning Resistance,Resistance
Act 6 (Act 3 - Cruel),Sandswept Marsh,Find Basket at Orok Campfire,Lesser Jeweller's Orb,Unique Reward
Act 6 (Act 3 - Cruel),Jungle Ruins,Kill Mighty Silverfist,+2 Passive Skill Points,Passive Skills
Act 6 (Act 3 - Cruel),The Azak Bog,Kill Ignagduk, The Bog Witch,+40 Spirit (Uncut Spirit Gem on 1st kill),Spirit, Gem
Act 6 (Act 3 - Cruel),The Venom Crypts,Find the Venom Vial,Choose from: +10% to Chaos Resistance +5 to All Attributes 15% reduced Slowing Potency of Debuffs on you,Unique Reward
Act 6 (Act 3 - Cruel),Jiquani's Machinarium,Kill Blackjaw, The Remnant,+10% Fire Resistance,Resistance
Act 6 (Act 3 - Cruel),Aggorat,Find and Sacrifice the Sacrificial Heart,+2 Passive Skill Points,Passive Skills
